archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
RANGER_STEALTH_ARCHER,12,2851240613,DEATH,1,5,2,0,42,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:50,RANGER_STEALTH_ARCHER_12.json
RANGER_STEALTH_ARCHER,13,3453890209,DEATH,1,52,2,0,41,0,0,0,0,0,0,4,12,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:55,RANGER_STEALTH_ARCHER_13.json
RANGER_STEALTH_ARCHER,14,1047276193,DEATH,4,396,1,3,69,55,4,0,2,2,0,6,15,2,0,3,4,7,3,2,0,0,0,0,0,0,0,0,223,2026-02-08T16:38:27,RANGER_STEALTH_ARCHER_14.json
RANGER_STEALTH_ARCHER,15,1120136157,DEATH,2,195,2,6,53,11,2,0,3,3,0,2,13,2,0,0,6,14,2,3,0,0,0,0,0,0,0,0,44,2026-02-08T16:38:12,RANGER_STEALTH_ARCHER_15.json
RANGER_STEALTH_ARCHER,16,2537588523,DEATH,1,80,2,0,44,0,0,0,0,0,0,4,12,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:02,RANGER_STEALTH_ARCHER_16.json
RANGER_STEALTH_ARCHER,17,4098328234,DEATH,1,32,1,1,41,0,0,0,0,1,0,4,12,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:06,RANGER_STEALTH_ARCHER_17.json
RANGER_STEALTH_ARCHER,18,1370952161,DEATH,1,10,0,0,44,0,0,0,0,0,0,2,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:08,RANGER_STEALTH_ARCHER_18.json
RANGER_STEALTH_ARCHER,19,685258421,DEATH,3,256,2,3,47,7,3,0,0,2,0,3,14,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,28,2026-02-08T16:38:30,RANGER_STEALTH_ARCHER_19.json
RANGER_STEALTH_ARCHER,2,3906072404,DEATH,4,524,5,5,46,35,3,0,0,3,0,7,15,2,0,6,0,13,0,0,0,0,0,0,0,0,0,0,142,2026-02-08T16:37:54,RANGER_STEALTH_ARCHER_2.json
RANGER_STEALTH_ARCHER,20,2025339332,DEATH,1,69,0,0,41,0,0,0,0,0,0,4,12,2,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:14,RANGER_STEALTH_ARCHER_20.json
RANGER_STEALTH_ARCHER,21,2121847714,DEATH,1,90,3,2,41,6,1,0,0,2,0,5,12,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,24,2026-02-08T16:38:21,RANGER_STEALTH_ARCHER_21.json
RANGER_STEALTH_ARCHER,22,1450162553,DEATH,1,55,2,0,46,0,0,0,0,0,0,6,12,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:19,RANGER_STEALTH_ARCHER_22.json
RANGER_STEALTH_ARCHER,23,1418871542,DEATH,1,7,1,0,41,0,0,0,0,0,0,2,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:22,RANGER_STEALTH_ARCHER_23.json
RANGER_STEALTH_ARCHER,24,307302482,DEATH,1,17,4,0,42,0,0,0,0,0,0,6,12,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:38:24,RANGER_STEALTH_ARCHER_24.json
RANGER_STEALTH_ARCHER,3,811667734,DEATH,1,6,1,0,43,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:21,RANGER_STEALTH_ARCHER_3.json
RANGER_STEALTH_ARCHER,4,2996496074,DEATH,1,39,0,1,44,0,0,0,0,0,0,2,12,2,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:26,RANGER_STEALTH_ARCHER_4.json
RANGER_STEALTH_ARCHER,5,2393682061,DEATH,1,61,0,2,42,0,0,0,0,0,0,2,12,2,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:27,RANGER_STEALTH_ARCHER_5.json
RANGER_STEALTH_ARCHER,6,2738105504,DEATH,3,124,2,0,42,8,2,0,0,0,0,4,14,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,33,2026-02-08T16:37:39,RANGER_STEALTH_ARCHER_6.json
RANGER_STEALTH_ARCHER,7,2172295676,DEATH,1,8,2,0,46,0,0,0,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:29,RANGER_STEALTH_ARCHER_7.json
RANGER_STEALTH_ARCHER,8,1364807202,DEATH,1,160,3,1,41,0,0,0,0,0,0,8,12,2,0,10,7,2,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:41,RANGER_STEALTH_ARCHER_8.json
RANGER_STEALTH_ARCHER,9,3455859629,DEATH,4,411,6,2,72,51,3,0,2,2,0,8,15,2,0,8,0,5,6,2,0,0,0,0,0,0,0,0,204,2026-02-08T16:38:05,RANGER_STEALTH_ARCHER_9.json
