archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
SMITH,44,2779001011,DEATH,1,111,5,4,86,0,0,0,3,3,0,0,11,2,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:25,SMITH_44.json
SMITH,45,2269357815,DEATH,1,7,0,0,87,0,0,0,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:20,SMITH_45.json
SMITH,46,1526256760,DEATH,1,54,2,1,89,3,0,0,0,0,0,0,10,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-08T16:39:26,SMITH_46.json
SMITH,47,2831305576,DEATH,1,30,3,1,87,0,0,0,0,0,0,0,10,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:27,SMITH_47.json
SMITH,48,549297363,DEATH,1,6,0,0,86,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:39:27,SMITH_48.json
SMITH,49,3108712401,DEATH,1,146,1,0,86,16,0,0,0,0,0,2,10,2,0,8,13,0,0,0,0,0,0,0,0,0,0,0,69,2026-02-08T16:39:36,SMITH_49.json
SMITH,5,2284657485,DEATH,1,114,4,3,88,0,0,0,0,2,0,0,11,2,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:36:38,SMITH_5.json
SMITH,6,1293304604,DEATH,3,721,8,6,87,94,0,0,20,3,0,0,14,2,0,0,7,9,0,0,0,0,0,0,0,0,0,0,335,2026-02-08T16:37:16,SMITH_6.json
SMITH,7,205514335,DEATH,4,703,15,6,122,77,0,0,11,2,0,4,16,2,0,4,1,19,0,0,0,0,0,20,0,0,0,0,316,2026-02-08T16:37:21,SMITH_7.json
SMITH,8,3610056653,DEATH,1,7,0,0,94,0,0,0,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:02,SMITH_8.json
SMITH,9,1342108634,DEATH,1,29,2,0,85,0,0,0,0,0,0,0,10,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-08T16:37:05,SMITH_9.json
