archetype,run_index,seed,outcome,deepest_floor,total_turns,total_kills,total_items,total_damage_taken,total_healing_done,total_errors,total_abilities_used,total_ranged_attacks,total_items_equipped,total_forges_used,total_stealth_toggles,total_skills_bought,total_abilities_learned,total_songs_started,total_flee_attempts,total_consumables_used,total_items_sought,total_kite_attempts,total_kite_shots,total_combats_avoided,total_stealth_kills,total_detections,total_forges_visited,total_forge_successes,total_word_of_command,total_lore_of_sleep,total_deep_memory,total_rest_turns,timestamp,_file
LORE_MAGE,43,687058960,DEATH,3,61,0,2,43,1,3,8,0,1,0,1,12,4,1,0,0,4,0,0,0,0,0,0,0,2,0,2,4,2026-02-08T16:43:21,LORE_MAGE_43.json
LORE_MAGE,44,3981056753,DEATH,1,372,2,0,44,74,0,35,0,0,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,300,2026-02-08T16:43:33,LORE_MAGE_44.json
LORE_MAGE,45,3730379706,DEATH,4,437,4,1,43,75,3,7,0,0,0,5,13,4,1,0,0,1,0,0,0,0,0,0,0,0,0,6,304,2026-02-08T16:43:53,LORE_MAGE_45.json
LORE_MAGE,46,1609091245,DEATH,2,695,0,1,46,148,0,36,0,0,0,1,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,36,600,2026-02-08T16:44:02,LORE_MAGE_46.json
LORE_MAGE,47,3276278802,DEATH,3,921,5,3,49,185,0,30,5,3,0,15,12,4,1,0,0,7,0,0,0,0,0,0,0,12,0,15,750,2026-02-08T16:44:27,LORE_MAGE_47.json
LORE_MAGE,48,4142132340,DEATH,2,430,6,0,43,74,1,34,0,0,0,6,11,4,1,0,5,0,0,0,0,0,0,0,0,0,0,31,300,2026-02-08T16:44:05,LORE_MAGE_48.json
LORE_MAGE,49,1944958291,DEATH,1,54,2,0,44,8,1,2,0,0,0,1,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2026-02-08T16:44:00,LORE_MAGE_49.json
LORE_MAGE,5,4238703316,DEATH,2,447,0,0,43,91,0,30,0,0,0,4,11,4,0,0,2,0,0,0,0,0,0,0,0,7,0,0,369,2026-02-08T16:37:26,LORE_MAGE_5.json
LORE_MAGE,6,29531287,DEATH,1,44,1,0,41,0,0,23,0,0,0,0,10,4,0,0,6,0,0,0,0,0,0,0,0,23,0,0,0,2026-02-08T16:37:04,LORE_MAGE_6.json
LORE_MAGE,7,2709555452,DEATH,3,442,5,1,56,74,1,26,0,1,0,6,12,4,1,18,0,1,0,0,0,0,0,0,0,0,0,7,297,2026-02-08T16:37:29,LORE_MAGE_7.json
LORE_MAGE,8,1442105427,DEATH,1,77,2,1,50,9,1,1,0,0,0,1,10,4,1,0,0,3,0,0,0,0,0,0,0,0,0,1,36,2026-02-08T16:37:12,LORE_MAGE_8.json
LORE_MAGE,9,3974862225,DEATH,1,396,0,1,42,74,0,35,0,0,0,2,10,4,0,0,4,4,0,0,0,0,0,0,0,0,0,35,300,2026-02-08T16:37:36,LORE_MAGE_9.json
